"Name","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Felipe Rivero","19.29","3.86","5.00","0.00","45.5 %","9.1 %","36.4 %",".300","1.71",".600","75.0 %","100","4","20","3.86","0.11","3.75","0.71","1.26","12076"
"Clint Robinson","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0","30","66","0.00","1.11","-1.11","2.51","1.80","6908"
"Drew Storen","11.28","1.21","9.33","0.00","33.3 %","3.6 %","29.8 %",".177","0.76",".275","89.5 %","21","34","70","0.81","1.27","-0.47","2.66","1.84","6983"
"Taylor Hill","5.40","0.00","1.00","0.00","20.0 %","0.0 %","20.0 %",".200","0.60",".250","100.0 %","0","51","51","0.00","1.91","-1.91","1.91","-1.23","12515"
"Aaron Barrett","12.46","2.60","4.80","0.52","32.9 %","6.9 %","26.0 %",".254","1.27",".381","60.2 %","135","57","66","5.19","2.13","3.06","2.51","2.18","11243"
"Max Scherzer","10.43","1.39","7.50","0.58","29.3 %","3.9 %","25.4 %",".201","0.91",".273","81.8 %","48","58","79","1.85","2.17","-0.32","3.01","2.69","3137"
"A.J. Cole","8.68","0.96","9.00","0.96","20.5 %","2.3 %","18.2 %",".326","1.61",".394","29.4 %","150","77","87","5.79","2.90","2.89","3.31","3.15","11467"
"Matt Thornton","5.27","2.63","2.00","0.00","14.8 %","7.4 %","7.4 %",".122","0.73",".146","54.6 %","51","81","125","1.98","3.04","-1.06","4.78","4.31","1918"
"Gio Gonzalez","8.54","3.20","2.67","0.46","21.9 %","8.2 %","13.7 %",".296","1.53",".379","68.3 %","123","81","84","4.73","3.04","1.69","3.19","3.38","7448"
"Jordan Zimmermann","5.90","1.97","3.00","0.39","16.0 %","5.3 %","10.6 %",".260","1.22",".304","72.1 %","75","83","110","2.88","3.11","-0.23","4.18","4.26","4505"
"Casey Janssen","3.86","3.86","1.00","0.00","10.0 %","10.0 %","0.0 %",".278","1.50",".313","42.9 %","200","94","124","7.71","3.54","4.17","4.74","5.11","7355"
"Blake Treinen","9.57","4.44","2.15","0.68","24.4 %","11.3 %","13.0 %",".257","1.48",".338","69.9 %","115","94","78","4.44","3.57","0.88","2.95","2.74","12572"
"Matt Grace","7.50","6.00","1.25","0.00","16.4 %","13.1 %","3.3 %",".365","2.25",".452","71.4 %","136","98","115","5.25","3.69","1.56","4.40","4.05","11449"
"Craig Stammen","6.75","6.75","1.00","0.00","17.7 %","17.7 %","0.0 %",".143","1.25",".182","100.0 %","0","102","138","0.00","3.86","-3.86","5.26","5.27","7274"
"Taylor Jordan","1.93","3.86","0.50","0.00","4.6 %","9.1 %","-4.6 %",".300","1.71",".316","62.5 %","150","105","159","5.79","3.97","1.82","6.07","6.05","10466"
"Stephen Strasburg","8.93","2.78","3.21","1.19","20.7 %","6.5 %","14.3 %",".320","1.72",".389","59.2 %","170","105","99","6.55","3.97","2.58","3.77","3.73","10131"
"Doug Fister","4.08","2.27","1.80","1.13","10.3 %","5.7 %","4.6 %",".280","1.41",".291","70.0 %","112","123","122","4.31","4.67","-0.36","4.66","4.99","9425"
"Tanner Roark","3.16","2.30","1.38","1.44","8.6 %","6.3 %","2.3 %",".252","1.21",".243","93.8 %","67","141","127","2.59","5.34","-2.76","4.84","4.83","8753"
"Sammy Solis","4.00","2.00","2.00","2.00","11.1 %","5.6 %","5.6 %",".235","1.11",".214","69.4 %","130","152","125","5.00","5.78","-0.78","4.76","4.75","11457"
"Xavier Cedeno","12.00","6.00","2.00","3.00","26.7 %","13.3 %","13.3 %",".250","1.67",".286","87.0 %","156","205","127","6.00","7.78","-1.78","4.85","3.69","36"
"Rafael Martin","19.80","3.60","5.50","5.40","40.7 %","7.4 %","33.3 %",".333","2.00",".500","58.8 %","234","219","58","9.00","8.31","0.69","2.20","1.57","10258"
